Drug Name,Drug ID (ChEMBL),Queried Disease (per drug),Phase,Status,Reason,Mechanism of Action,Trial IDs (NCT),PubMed Reference,PubChem CID,Molecular Formula,Canonical SMILES,Molecular Weight,Source URLs
TESEVATINIB,CHEMBL3544983,non-small cell lung carcinoma,PHASE_3,Terminated,Kadmon has made a business decision to terminate the study due to slow enrollment. Note the decision to terminate the study was not related to safety issues,Ephrin type-B receptor 4 inhibitor; Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT01487174,,10458325,C24H25Cl2FN4O2,,491.4,https://clinicaltrials.gov/study/NCT01487174
TESEVATINIB,CHEMBL3544983,autosomal dominant polycystic kidney disease,PHASE_2,Terminated,Sponsor opened Phase 2 Study.,Ephrin type-B receptor 4 inhibitor; Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT02616055,,10458325,C24H25Cl2FN4O2,,491.4,https://clinicaltrials.gov/study/NCT02616055
TESEVATINIB,CHEMBL3544983,breast cancer,PHASE_1_2,Terminated,Sponsor closed the study due to lack of response.,Ephrin type-B receptor 4 inhibitor; Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT02154529,,10458325,C24H25Cl2FN4O2,,491.4,https://clinicaltrials.gov/study/NCT02154529
TESEVATINIB,CHEMBL3544983,solid tumors,PHASE_1,Withdrawn,Study not initiated,Ephrin type-B receptor 4 inhibitor; Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT00704392,,10458325,C24H25Cl2FN4O2,,491.4,https://clinicaltrials.gov/study/NCT00704392
TESEVATINIB,CHEMBL3544983,"gastroesophageal junction adenocarcinoma, gastric adenocarcinoma, esophageal adenocarcinoma",PHASE_1,Withdrawn,IND application withdrawn,Ephrin type-B receptor 4 inhibitor; Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT02205463,,10458325,C24H25Cl2FN4O2,,491.4,https://clinicaltrials.gov/study/NCT02205463
AFATINIB,CHEMBL1173655,head and neck squamous cell carcinoma,PHASE_3,Terminated,Trial status reported as 'TERMINATED' (no further reason available),Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT01345669,"PMID:25432788 - Afatinib versus placebo as adjuvant therapy after chemoradiation in a double-blind, phase III study (LUX-Head & Neck 2) in patients with primary unresected, clinically intermediate-to-high-risk head and neck cancer: study protocol for a randomized controlled trial. - (Trials 2014)",10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT01345669
AFATINIB,CHEMBL1173655,head and neck squamous cell carcinoma,PHASE_3,Terminated,Trial status reported as 'TERMINATED' (no further reason available),Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT02131155,PMID:29999905 - Afatinib. - ( 2006),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT02131155
AFATINIB,CHEMBL1173655,cancer,PHASE_2,Terminated,Trial status reported as 'TERMINATED' (no further reason available),Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT00748709,PMID:29999905 - Afatinib. - ( 2006),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT00748709
AFATINIB,CHEMBL1173655,prostate cancer,PHASE_2,Terminated,unexpectedly slow recruitment,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT01320280,PMID:20179235 - Low level HER2 overexpression is associated with rapid tumor cell proliferation and poor prognosis in prostate cancer. - (Clinical cancer research : an official journal of the American Association for Cancer Research 2010),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT01320280
AFATINIB,CHEMBL1173655,non-small cell lung carcinoma,PHASE_2,Withdrawn,"PI left MUSC, no patient enrollments",Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT01480141,PMID:10190311 - Amplification and overexpression of the cyclin D1 and epidermal growth factor receptor genes in non-small-cell lung cancer. Lung Cancer Study Group. - (Journal of cancer research and clinical oncology 1999),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT01480141
