Drug Name,Drug ID (ChEMBL),Queried Disease (per drug),Phase,Trial Status,Sponsor,Estimated Primary Completion Date,Trial Start Date,Mechanism of Action,Trial IDs (NCT),PubMed Reference,PubChem CID,Molecular Formula,Canonical SMILES,Molecular Weight,Source URLs
RUSERONTINIB,CHEMBL3678958,acute myeloid leukemia,PHASE_1_2,RECRUITING,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",2024-10-31,2021-08-31,Epidermal growth factor receptor erbB1 inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor,NCT05445154,,54760385,C24H29N9,,443.5,https://clinicaltrials.gov/study/NCT05445154
AFATINIB,CHEMBL1173655,non-small cell lung carcinoma,PHASE_3,RECRUITING,Region Skane,2028-09,2022-09-21,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT06486142,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT06486142
AFATINIB,CHEMBL1173655,non-small cell lung carcinoma,PHASE_3,RECRUITING,"ArriVent BioPharma, Inc.",2029-02,2025-12-17,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT07185997,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT07185997
AFATINIB,CHEMBL1173655,endometrial serous adenocarcinoma,PHASE_2,RECRUITING,Yale University,2026-12,2015-06,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT02491099,PMID:12006548 - Overexpression of HER-2/neu in uterine serous papillary cancer. - (Clinical cancer research : an official journal of the American Association for Cancer Research 2002),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT02491099
AFATINIB,CHEMBL1173655,"advanced solid tumor, non-Hodgkin lymphoma, plasma cell myeloma, thyroid gland carcinoma",PHASE_2,RECRUITING,The Netherlands Cancer Institute,2027-09,2016-08,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT02925234,PMID:35086719 - Comprehensive Molecular Characterization Reveals Genomic and Transcriptomic Subtypes of Metastatic Urothelial Carcinoma. - (European urology 2022),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT02925234
AFATINIB,CHEMBL1173655,"gallbladder cancer, gallbladder carcinoma",PHASE_2,RECRUITING,Shanghai Jiao Tong University School of Medicine,2025-06,2020-06-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT04183712,"PMID:36854604 - Afatinib in combination with GEMOX chemotherapy as the adjuvant treatment in patients with ErbB pathway mutated, resectable gallbladder cancer: study protocol for a ctDNA-based, multicentre, open-label, randomised, controlled, phase II trial. - (BMJ open 2023)",10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT04183712
AFATINIB,CHEMBL1173655,cutaneous squamous cell carcinoma,PHASE_2,ACTIVE_NOT_RECRUITING,H. Lee Moffitt Cancer Center and Research Institute,2027-02,2021-10-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05070403,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT05070403
AFATINIB,CHEMBL1173655,non-small cell lung carcinoma,PHASE_2,RECRUITING,"National University Hospital, Singapore",2026-10,2024-03-25,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT06062823,PMID:17522250 - Epidermal growth factor receptor inhibitor-associated cutaneous toxicities: an evolving paradigm in clinical management. - (The oncologist 2007),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT06062823
AFATINIB,CHEMBL1173655,non-small cell lung carcinoma,PHASE_2,RECRUITING,Shandong Public Health Clinical Center,2026-05-31,2025-05-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT06709859,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT06709859
AFATINIB,CHEMBL1173655,"head and neck cancer, head and neck squamous cell carcinoma",PHASE_2,COMPLETED,West China Hospital,2026-06-26,2025-06-28,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT07040956,PMID:15987991 - Promising new advances in head and neck radiotherapy. - (Annals of oncology : official journal of the European Society for Medical Oncology 2005),10184653,C24H25ClFN5O3,,485.9,https://clinicaltrials.gov/study/NCT07040956
